,glofasStation,placeCode
0,no_station,KE0301570781
1,no_station,KE0301570782
2,no_station,KE0301570783
3,no_station,KE0301570784
4,no_station,KE0301570785
5,no_station,KE0301570786
6,no_station,KE0301570787
7,no_station,KE0301580788
8,no_station,KE0301580789
9,no_station,KE0301580790
10,no_station,KE0301580791
11,no_station,KE0301580792
12,no_station,KE0301590793
13,no_station,KE0301590794
14,no_station,KE0301590795
15,no_station,KE0301590796
16,no_station,KE0301590797
17,no_station,KE0301600798
18,no_station,KE0301600799
19,no_station,KE0301600800
20,no_station,KE0301600801
21,no_station,KE0301610802
22,no_station,KE0301610803
23,no_station,KE0301610804
24,no_station,KE0301620805
25,no_station,KE0301620806
26,no_station,KE0301620807
27,no_station,KE0301620808
28,no_station,KE0301620809
29,no_station,KE0301620810
30,no_station,KE0361940966
31,no_station,KE0361940967
32,no_station,KE0361940968
33,no_station,KE0361940969
34,no_station,KE0361940970
35,no_station,KE0361950971
36,no_station,KE0361950972
37,no_station,KE0361950973
38,no_station,KE0361950974
39,no_station,KE0361950975
40,no_station,KE0361960976
41,no_station,KE0361960977
42,no_station,KE0361960978
43,no_station,KE0361960979
44,no_station,KE0361960980
45,no_station,KE0361970981
46,no_station,KE0361970982
47,no_station,KE0361970983
48,no_station,KE0361970984
49,no_station,KE0361970985
50,no_station,KE0361980986
51,no_station,KE0361980987
52,no_station,KE0361980988
53,no_station,KE0361980989
54,no_station,KE0361980990
55,no_station,KE0392161076
56,no_station,KE0392161077
57,no_station,KE0392161078
58,no_station,KE0392161079
59,no_station,KE0392161080
60,no_station,KE0392161081
61,no_station,KE0392171082
62,no_station,KE0392171083
63,no_station,KE0392171084
64,no_station,KE0392181085
65,no_station,KE0392181086
66,no_station,KE0392181087
67,no_station,KE0392181088
68,no_station,KE0392191089
69,no_station,KE0392191090
70,no_station,KE0392191091
71,no_station,KE0392191092
72,no_station,KE0392191093
73,no_station,KE0392191094
74,no_station,KE0392191095
75,no_station,KE0392201096
76,no_station,KE0392201097
77,no_station,KE0392201098
78,no_station,KE0392201099
79,no_station,KE0392201100
80,no_station,KE0392201101
81,no_station,KE0392201102
82,no_station,KE0392201103
83,no_station,KE0392211104
84,no_station,KE0392211105
85,no_station,KE0392211106
86,no_station,KE0392221107
87,G5195,KE0392221108
88,no_station,KE0392221109
89,no_station,KE0392221110
90,no_station,KE0392231111
91,no_station,KE0392231112
92,no_station,KE0392231113
93,no_station,KE0392231114
94,no_station,KE0392241115
95,no_station,KE0392241116
96,no_station,KE0392241117
97,no_station,KE0392241118
98,no_station,KE0392241119
99,no_station,KE0392241120
100,no_station,KE0402251121
101,no_station,KE0402251122
102,no_station,KE0402251123
103,no_station,KE0402251124
104,no_station,KE0402251125
105,no_station,KE0402251126
106,no_station,KE0402261127
107,no_station,KE0402261128
108,no_station,KE0402261129
109,no_station,KE0402261130
110,no_station,KE0402261131
111,no_station,KE0402261132
112,no_station,KE0402271133
113,no_station,KE0402271134
114,no_station,KE0402271135
115,no_station,KE0402271136
116,no_station,KE0402281137
117,no_station,KE0402281138
118,no_station,KE0402281139
119,no_station,KE0402281140
120,no_station,KE0402281141
121,no_station,KE0402291142
122,no_station,KE0402291143
123,no_station,KE0402291144
124,no_station,KE0402291145
125,no_station,KE0402291146
126,no_station,KE0402291147
127,no_station,KE0402301148
128,G5195,KE0402301149
129,G5195,KE0402301150
130,G5195,KE0402301151
131,no_station,KE0402311152
132,G5195,KE0402311153
133,G5195,KE0402311154
134,G5195,KE0402311155
135,no_station,KE0281470731
136,no_station,KE0281470732
137,no_station,KE0281470733
138,no_station,KE0281470734
139,no_station,KE0281480735
140,no_station,KE0281480736
141,no_station,KE0281480737
142,no_station,KE0281480738
143,no_station,KE0281480739
144,no_station,KE0281480740
145,no_station,KE0281490741
146,no_station,KE0281490742
147,no_station,KE0281490743
148,no_station,KE0281490744
149,no_station,KE0281500745
150,no_station,KE0281500746
151,no_station,KE0281500747
152,no_station,KE0281500748
153,no_station,KE0281500749
154,no_station,KE0281500750
155,no_station,KE0140630311
156,no_station,KE0140630312
157,no_station,KE0140630313
158,no_station,KE0140630314
159,no_station,KE0140630315
160,no_station,KE0140630316
161,no_station,KE0140640317
162,no_station,KE0140640318
163,no_station,KE0140640319
164,no_station,KE0140640320
165,no_station,KE0140640321
166,no_station,KE0140640322
167,no_station,KE0140650323
168,no_station,KE0140650324
169,no_station,KE0140650325
170,no_station,KE0140650326
171,no_station,KE0140650327
172,no_station,KE0140660328
173,no_station,KE0140660329
174,no_station,KE0140660330
175,no_station,KE0070270131
176,no_station,KE0070270132
177,no_station,KE0070270133
178,no_station,KE0070270134
179,no_station,KE0070280135
180,no_station,KE0070280136
181,no_station,KE0070280137
182,no_station,KE0070280138
183,no_station,KE0070280139
184,no_station,KE0070290140
185,no_station,KE0070290141
186,no_station,KE0070290142
187,no_station,KE0070290143
188,no_station,KE0070290144
189,no_station,KE0070290145
