,glofasStation,placeCode
0,no_station,UG30670101
1,no_station,UG31000101
2,G5196,UG20270101
3,no_station,UG30960101
4,no_station,UG30670102
5,G5196,UG30640101
6,G5196,UG30640102
7,no_station,UG30910101
8,no_station,UG30960102
9,no_station,UG30790101
10,no_station,UG30810101
11,no_station,UG30780101
12,no_station,UG30960103
13,no_station,UG30970101
14,G5196,UG20460101
15,no_station,UG30730101
16,no_station,UG30830101
17,no_station,UG30660101
18,no_station,UG30650101
19,no_station,UG30730102
20,no_station,UG30650102
21,no_station,UG30810102
22,no_station,UG30810103
23,no_station,UG30720201
24,no_station,UG30950101
25,no_station,UG30830201
26,no_station,UG30660102
27,no_station,UG30830102
28,no_station,UG30680101
29,no_station,UG30820101
30,G5075,UG20590201
31,no_station,UG30710101
32,no_station,UG30730103
33,no_station,UG30830103
34,no_station,UG30680102
35,no_station,UG30720301
36,no_station,UG30720401
37,no_station,UG31000102
38,no_station,UG30790102
39,no_station,UG30710102
40,G5196,UG20270102
41,G5075,UG20590202
42,no_station,UG30710201
43,G5196,UG20460102
44,no_station,UG30670103
45,no_station,UG30680103
46,no_station,UG30910201
47,no_station,UG31000103
48,no_station,UG30950102
49,no_station,UG30670104
50,no_station,UG30960104
51,G5196,UG30640103
52,no_station,UG30920101
53,no_station,UG30790103
54,no_station,UG30670105
55,no_station,UG20410101
56,no_station,UG30980101
57,no_station,UG30830104
58,no_station,UG30680104
59,no_station,UG30690101
60,no_station,UG30690102
61,no_station,UG30670106
62,no_station,UG20450201
63,G5196,UG20270103
64,no_station,UG30700101
65,no_station,UG30700102
66,no_station,UG30730104
67,no_station,UG30920102
68,no_station,UG30920103
69,no_station,UG30970102
70,no_station,UG30710202
71,no_station,UG30670107
72,G5196,UG20270104
73,no_station,UG20410102
74,no_station,UG30990101
75,G5075,UG20590203
76,no_station,UG30680105
77,no_station,UG20620101
78,no_station,UG30650103
79,no_station,UG30720402
80,no_station,UG30990102
81,no_station,UG30710103
82,no_station,UG30720202
83,no_station,UG30830105
84,no_station,UG30720101
85,no_station,UG30660103
86,no_station,UG30680106
87,G5196,UG20270105
88,no_station,UG20620102
89,no_station,UG30970103
