,glofasStation,placeCode
114,G5100,SS030301
115,G5100,SS030302
116,G5100,SS030303
117,G5100,SS030304
118,G5100,SS030305
119,G5100,SS030306
158,G5100,SS031001
159,G5100,SS031002
160,G5100,SS031003
161,G5100,SS031004
162,G5100,SS031005
171,G5100,SS040101
172,G5100,SS040102
173,G5100,SS040103
174,G5100,SS040104
175,G5100,SS040105
176,G5100,SS040106
177,G5100,SS040107
178,G5100,SS040108
208,G5100,SS040701
209,G5100,SS040702
210,G5100,SS040703
211,G5100,SS040704
212,G5100,SS040705
213,G5100,SS040706
