,glofasStation,placeCode
0,no_station,PH012801000
1,no_station,PH012802000
2,no_station,PH012803000
3,no_station,PH012804000
4,no_station,PH012805000
5,no_station,PH012807000
6,no_station,PH012808000
7,no_station,PH012820000
8,no_station,PH012901000
9,no_station,PH012809000
10,no_station,PH101314000
11,no_station,PH101315000
12,no_station,PH101316000
13,no_station,PH101317000
14,no_station,PH071225000
15,no_station,PH012810000
16,no_station,PH012811000
17,no_station,PH012812000
18,no_station,PH103508000
19,no_station,PH103509000
20,no_station,PH103510000
21,no_station,PH103511000
22,no_station,PH103512000
23,no_station,PH103513000
24,no_station,PH103514000
25,no_station,PH071232000
26,no_station,PH012813000
27,no_station,PH012814000
28,no_station,PH012815000
29,no_station,PH012816000
30,no_station,PH012817000
31,no_station,PH012908000
32,no_station,PH012818000
33,no_station,PH012819000
34,no_station,PH012821000
35,no_station,PH012823000
36,no_station,PH104302000
37,no_station,PH012822000
38,no_station,PH153827000
39,no_station,PH012902000
40,no_station,PH012911000
41,no_station,PH012912000
42,no_station,PH071218000
43,no_station,PH071219000
44,no_station,PH012903000
45,no_station,PH012904000
46,no_station,PH012905000
47,no_station,PH012906000
48,no_station,PH012907000
49,no_station,PH071220000
50,no_station,PH071221000
51,no_station,PH071222000
52,no_station,PH012909000
53,no_station,PH012910000
54,no_station,PH071223000
55,no_station,PH071224000
56,no_station,PH012913000
57,no_station,PH012914000
58,no_station,PH012915000
59,no_station,PH071226000
60,no_station,PH071227000
61,no_station,PH071228000
62,no_station,PH104319000
63,no_station,PH012916000
64,no_station,PH012917000
65,no_station,PH012918000
66,no_station,PH012919000
67,no_station,PH012920000
68,no_station,PH012921000
69,no_station,PH012922000
70,no_station,PH012923000
71,no_station,PH025012000
72,no_station,PH012924000
73,no_station,PH071229000
74,no_station,PH071230000
75,no_station,PH071231000
76,no_station,PH012925000
77,no_station,PH012926000
78,no_station,PH012927000
79,no_station,PH012928000
80,no_station,PH012929000
81,no_station,PH012930000
82,no_station,PH012932000
83,no_station,PH012933000
84,no_station,PH012934000
85,no_station,PH013301000
86,no_station,PH013302000
87,no_station,PH013303000
88,no_station,PH071233000
89,no_station,PH071234000
90,no_station,PH071235000
91,no_station,PH012931000
92,no_station,PH031402000
93,no_station,PH013304000
94,no_station,PH013305000
95,no_station,PH013306000
96,no_station,PH013307000
97,no_station,PH015540000
98,no_station,PH031413000
99,no_station,PH013308000
100,no_station,PH013309000
101,no_station,PH013310000
102,no_station,PH013311000
103,no_station,PH104217000
104,no_station,PH104301000
105,no_station,PH013312000
106,no_station,PH013313000
107,no_station,PH013314000
108,no_station,PH013315000
109,no_station,PH013316000
110,no_station,PH013317000
111,no_station,PH013318000
112,no_station,PH104303000
113,no_station,PH104304000
114,no_station,PH104305000
115,no_station,PH104306000
116,no_station,PH104307000
117,no_station,PH104308000
118,no_station,PH104309000
119,no_station,PH104310000
120,no_station,PH104311000
121,no_station,PH104312000
122,no_station,PH104313000
123,no_station,PH104314000
124,no_station,PH104315000
125,no_station,PH104316000
126,no_station,PH104317000
127,no_station,PH104318000
128,no_station,PH013319000
129,no_station,PH104320000
130,no_station,PH104321000
131,no_station,PH104322000
132,no_station,PH104323000
133,no_station,PH104324000
134,no_station,PH104325000
135,no_station,PH104326000
136,no_station,PH112301000
137,no_station,PH112303000
138,no_station,PH013320000
139,no_station,PH015501000
140,no_station,PH015502000
141,no_station,PH015503000
142,no_station,PH015504000
143,no_station,PH015505000
144,no_station,PH037707000
145,no_station,PH015506000
146,no_station,PH015507000
147,no_station,PH015508000
148,no_station,PH015509000
149,no_station,PH042117000
150,no_station,PH015510000
151,no_station,PH015511000
152,no_station,PH045634000
153,no_station,PH015512000
154,no_station,PH015513000
155,no_station,PH015514000
156,no_station,PH015515000
157,no_station,PH015516000
158,no_station,PH015517000
159,no_station,PH015518000
160,no_station,PH015519000
161,no_station,PH015520000
162,no_station,PH015521000
163,no_station,PH015522000
164,no_station,PH015523000
165,no_station,PH015524000
166,no_station,PH015525000
167,no_station,PH015526000
168,no_station,PH015527000
169,no_station,PH015545000
170,no_station,PH015546000
171,no_station,PH054110000
172,no_station,PH015528000
173,no_station,PH140125000
174,no_station,PH015529000
175,G4630,PH021512000
176,G4630,PH021513000
177,G4630,PH021514000
178,no_station,PH015530000
179,no_station,PH015531000
180,no_station,PH015532000
181,no_station,PH015533000
182,no_station,PH034913000
183,no_station,PH034914000
184,no_station,PH034915000
185,no_station,PH015534000
186,no_station,PH015535000
187,no_station,PH034917000
188,no_station,PH071241000
189,no_station,PH015536000
190,no_station,PH015537000
191,no_station,PH015538000
192,no_station,PH015539000
193,no_station,PH035422000
194,no_station,PH082619000
195,no_station,PH015541000
196,no_station,PH015542000
197,G4630,PH021515000
198,G4630,PH021516000
199,no_station,PH015543000
200,no_station,PH015544000
201,no_station,PH060614000
202,no_station,PH060615000
203,no_station,PH082621000
204,no_station,PH015547000
205,no_station,PH015548000
206,no_station,PH020901000
207,no_station,PH020902000
208,no_station,PH020903000
209,no_station,PH020904000
210,no_station,PH020905000
211,no_station,PH020906000
212,no_station,PH021501000
213,no_station,PH086410000
214,G4630,PH021502000
215,G4630,PH021503000
216,G4630,PH021504000
217,no_station,PH021505000
218,G4630,PH021506000
219,no_station,PH021507000
220,G4630,PH021508000
221,no_station,PH021509000
222,no_station,PH072242000
223,no_station,PH072243000
224,no_station,PH072244000
225,G4630,PH021510000
226,no_station,PH021511000
227,G4630,PH023101000
228,G4630,PH021517000
229,no_station,PH021518000
230,G4630,PH021519000
231,no_station,PH036901000
232,G4630,PH021520000
233,G4630,PH021521000
234,no_station,PH021522000
235,no_station,PH021523000
236,no_station,PH021524000
237,G4630,PH021525000
238,G4630,PH023103000
239,G1967,PH036902000
240,no_station,PH118604000
241,G4630,PH021526000
242,no_station,PH141107000
243,G1970,PH124702000
244,G4630,PH021527000
245,no_station,PH060616000
246,no_station,PH060617000
247,no_station,PH097341000
248,G4630,PH021528000
249,no_station,PH098309000
250,G4630,PH021529000
251,no_station,PH060618000
252,no_station,PH101312000
253,no_station,PH101313000
254,G4630,PH023102000
255,no_station,PH063007000
256,no_station,PH063008000
257,no_station,PH063009000
258,no_station,PH063010000
259,no_station,PH103507000
260,G4630,PH023104000
261,G4630,PH023107000
262,G4630,PH023108000
263,G4630,PH023105000
264,no_station,PH043418000
265,G4630,PH023106000
266,no_station,PH043419000
267,no_station,PH043420000
268,G4630,PH023109000
269,no_station,PH023110000
270,no_station,PH023111000
271,G4630,PH023116000
272,G4630,PH023117000
273,no_station,PH043421000
274,G4630,PH023112000
275,G4630,PH023113000
276,G4630,PH023114000
277,G4630,PH023115000
278,no_station,PH142709000
279,G4630,PH023118000
280,G4630,PH023127000
281,no_station,PH142710000
282,G4630,PH023119000
283,G4630,PH023120000
284,no_station,PH023121000
285,G4630,PH023122000
286,G4630,PH023123000
287,G4630,PH023124000
288,G4630,PH023125000
289,G4630,PH023126000
290,no_station,PH142711000
291,no_station,PH143201000
292,G4630,PH023128000
293,G4630,PH023129000
294,G4630,PH023130000
295,G4630,PH023131000
296,G4630,PH023136000
297,G4630,PH023132000
298,G4630,PH023133000
299,no_station,PH071236000
300,G4630,PH023134000
301,G4630,PH023137000
302,no_station,PH025001000
303,no_station,PH025002000
304,no_station,PH025003000
305,G4630,PH023135000
306,no_station,PH025011000
307,no_station,PH025004000
308,no_station,PH025005000
309,no_station,PH025013000
310,no_station,PH025014000
311,no_station,PH025015000
312,no_station,PH025701000
313,no_station,PH025006000
314,no_station,PH025007000
315,no_station,PH025008000
316,G1966,PH031403000
317,no_station,PH025009000
318,no_station,PH025010000
319,no_station,PH031414000
320,no_station,PH031415000
321,G1966,PH031416000
322,G1966,PH031417000
323,no_station,PH025702000
324,no_station,PH031421000
325,no_station,PH031422000
326,no_station,PH031423000
327,no_station,PH031424000
328,no_station,PH034901000
329,no_station,PH034902000
330,no_station,PH034903000
331,no_station,PH034904000
332,no_station,PH034905000
333,no_station,PH034906000
334,no_station,PH034907000
335,no_station,PH034908000
336,no_station,PH034909000
337,no_station,PH034910000
338,no_station,PH034911000
339,no_station,PH034912000
340,no_station,PH025703000
341,no_station,PH025704000
342,no_station,PH025705000
343,no_station,PH025706000
344,no_station,PH030801000
345,no_station,PH030802000
346,no_station,PH030803000
347,no_station,PH030804000
348,no_station,PH030805000
349,no_station,PH030806000
350,no_station,PH030807000
351,no_station,PH030808000
352,no_station,PH030809000
353,no_station,PH030810000
354,no_station,PH030811000
355,no_station,PH030812000
356,no_station,PH031401000
357,no_station,PH031404000
358,no_station,PH031405000
359,no_station,PH031406000
360,G1966,PH031407000
361,no_station,PH031408000
362,G1966,PH031409000
363,G1966,PH031410000
364,no_station,PH031411000
365,no_station,PH031412000
366,G1966,PH031418000
367,no_station,PH031419000
368,no_station,PH031420000
369,no_station,PH034916000
370,no_station,PH034918000
371,no_station,PH034919000
372,no_station,PH034920000
