,glofasStation,placeCode
0,no_station,080510702
1,G1373,091113305
2,G1344,010100316
3,G1373,091113304
4,G1373,091113303
5,no_station,040506421
6,no_station,040506420
7,G1312,020902708
8,G1353,090211814
9,G1312,020902621
10,G1312,020902628
11,G1312,020902817
12,G1312,021003606
13,G1353,090211811
14,G1353,090211809
15,no_station,040506307
16,no_station,040506416
17,no_station,040506314
18,no_station,040506311
19,G1353,090211806
20,no_station,040506309
21,G1312,020502405
22,no_station,040506310
23,no_station,040606603
24,no_station,040606601
25,no_station,040606605
26,no_station,040606606
27,no_station,040606609
28,no_station,040606608
29,no_station,040606607
30,no_station,040606613
31,G1353,090211804
32,G1353,090211802
33,G1353,090211803
34,no_station,040706713
35,no_station,040706711
36,G1352,090412015
37,G1352,090412012
38,G5696,090512108
39,G1312,021003610
40,G1352,090913113
41,G1312,021003404
42,G5696,090512109
43,G1312,021003405
44,G1312,021003403
45,G1312,021003402
46,G1352,090812702
47,G1352,090913104
48,G1351,090111606
49,G1312,021003518
50,G1312,021003519
51,G1352,090913107
52,G1312,021003523
53,no_station,040706720
54,G1312,021003522
55,G1312,021003520
56,G5696,090512111
57,G5696,090512112
58,no_station,080510714
59,G1319,080310512
60,G1312,021003521
61,G1312,021003311
62,G1319,080310516
63,G1319,080310519
64,no_station,040706808
65,no_station,040106505
66,G1312,021003314
67,no_station,040106508
68,G1351,090111714
69,G1312,021003628
70,no_station,040706803
71,no_station,040706802
72,G1319,080310513
73,G5696,090512105
74,no_station,090612311
75,no_station,090612313
76,no_station,090612306
77,no_station,040406009
78,G1312,021003626
79,no_station,040406004
80,G1264,040205718
81,no_station,090612309
82,no_station,040406003
83,no_station,040406013
84,no_station,040406006
85,no_station,090612315
86,no_station,090612302
87,no_station,040406005
88,G1352,090712509
89,no_station,040406008
90,no_station,040406011
91,G1264,040205722
92,no_station,040406012
93,no_station,040406010
94,G1264,040205715
95,G1264,040205721
96,G1264,040205720
97,no_station,090612303
98,G1323,080410622
99,G1264,040205717
100,G1323,080410614
101,G1323,080410606
102,no_station,030103701
103,no_station,030103705
104,no_station,030204116
105,no_station,030204404
106,G1352,090412216
107,G1323,080410610
108,G1323,080410616
109,no_station,030103709
110,no_station,030204114
111,no_station,090612317
112,G1264,040205716
113,no_station,040506422
114,G1323,080410601
115,G1323,080410618
116,G1323,080410604
117,no_station,030103813
118,no_station,030103706
119,no_station,030204113
120,G1353,090211813
121,no_station,030103814
122,no_station,030103710
123,no_station,030204118
124,no_station,030204308
125,G5696,090512106
126,no_station,030103711
127,no_station,030204401
128,no_station,030204310
129,no_station,030204222
130,G1352,091013209
131,G1373,091113313
132,no_station,040506414
133,no_station,040506308
134,no_station,040606604
135,no_station,030103702
136,G1312,021003313
137,no_station,030204309
138,no_station,030204306
139,G5696,090512104
140,no_station,030204115
141,no_station,030204311
