,placeCode,glofasStation
1,BJ0101,G1894
2,BJ0101,no_station
3,BJ0102,G1894
4,BJ0103,G4810
5,BJ0103,G4943
6,BJ0104,no_station
7,BJ0105,G1042
8,BJ0105,G1044
9,BJ0106,G4810
10,BJ0201,no_station
11,BJ0202,G4744
12,BJ0202,G4934
13,BJ0203,no_station
14,BJ0204,no_station
15,BJ0205,G1062
16,BJ0206,no_station
17,BJ0207,no_station
18,BJ0208,no_station
19,BJ0209,no_station
20,BJ0301,no_station
21,BJ0302,no_station
22,BJ0303,no_station
23,BJ0304,no_station
24,BJ0305,no_station
25,BJ0306,no_station
26,BJ0307,no_station
27,BJ0308,no_station
28,BJ0401,no_station
29,BJ0402,no_station
30,BJ0403,G4902
31,BJ0404,no_station
32,BJ0405,no_station
33,BJ0406,no_station
34,BJ0407,no_station
35,BJ0408,G4909
36,BJ0408,G5027
37,BJ0408,G5027
38,BJ0501,no_station
39,BJ0502,no_station
40,BJ0503,G1081
41,BJ0504,no_station
42,BJ0505,G4783
43,BJ0506,G1081
44,BJ0506,G1081
45,BJ0601,no_station
46,BJ0602,no_station
47,BJ0603,no_station
48,BJ0604,G5094
49,BJ0605,no_station
50,BJ0606,no_station
51,BJ0701,G4909
52,BJ0702,G4902
53,BJ0703,no_station
54,BJ0704,no_station
55,BJ0800,no_station
56,BJ0901,G1089
57,BJ0902,no_station
58,BJ0903,no_station
59,BJ0904,no_station
60,BJ0905,no_station
61,BJ0906,no_station
62,BJ1002,no_station
63,BJ1003,no_station
64,BJ1004,no_station
65,BJ1005,no_station
66,BJ1006,G1090
67,BJ1007,G4794
68,BJ1008,no_station
69,BJ1009,no_station
70,BJ1101,no_station
71,BJ1102,no_station
72,BJ1103,no_station
73,BJ1104,no_station
74,BJ1105,no_station
75,BJ1201,no_station
76,BJ1202,G5094
77,BJ1203,no_station
78,BJ1204,G5030
79,BJ1205,G4783
80,BJ1206,G1087
81,BJ1207,G5030
82,BJ1208,G1087
83,BJ1209,no_station
