,glofasStation,placeCode
0,G5694,MW31011
1,no_station,MW31010
2,no_station,MW21031
3,no_station,MW21040
4,no_station,MW21041
5,no_station,MW21042
6,no_station,MW21043
7,no_station,MW21044
8,no_station,MW21045
9,no_station,MW21046
10,no_station,MW21047
11,no_station,MW21048
12,no_station,MW21049
13,no_station,MW21032
14,no_station,MW21050
15,no_station,MW21051
16,no_station,MW21052
17,no_station,MW21053
18,no_station,MW21054
19,no_station,MW21055
20,no_station,MW21056
21,no_station,MW21057
22,no_station,MW21058
23,no_station,MW21059
24,no_station,MW21033
25,no_station,MW21060
26,no_station,MW21061
27,no_station,MW21062
28,no_station,MW21063
29,no_station,MW21064
30,no_station,MW21065
31,no_station,MW21066
32,no_station,MW21067
33,no_station,MW21068
34,no_station,MW21069
35,no_station,MW21034
36,no_station,MW21070
37,no_station,MW21071
38,no_station,MW21072
39,no_station,MW21073
40,no_station,MW21074
41,no_station,MW21075
42,no_station,MW21076
43,no_station,MW21077
44,no_station,MW21078
45,no_station,MW21079
46,no_station,MW21035
47,no_station,MW21080
48,no_station,MW21081
49,no_station,MW21082
50,no_station,MW21083
51,no_station,MW21084
52,no_station,MW21085
53,no_station,MW21086
54,no_station,MW21087
55,no_station,MW21088
56,no_station,MW21036
57,no_station,MW21037
58,no_station,MW21038
59,no_station,MW21039
60,no_station,MW31220
61,no_station,MW31546
62,no_station,MW31542
63,no_station,MW31543
64,no_station,MW31541
65,no_station,MW31441
66,no_station,MW10740
67,no_station,MW10735
68,no_station,MW31544
69,no_station,MW31555
70,no_station,MW31435
71,no_station,MW31434
72,G5694,MW31020
73,no_station,MW31540
74,no_station,MW10734
75,no_station,MW30420
76,no_station,MW31436
77,no_station,MW31437
78,no_station,MW10120
79,no_station,MW20820
80,no_station,MW20420
81,no_station,MW10738
82,no_station,MW10743
83,no_station,MW10220
84,no_station,MW20120
85,no_station,MW20115
86,no_station,MW10741
87,no_station,MW10737
88,no_station,MW30399
89,no_station,MW30904
90,no_station,MW30299
91,no_station,MW30111
92,no_station,MW20511
93,no_station,MW30199
94,no_station,MW31008
95,no_station,MW31443
96,no_station,MW31444
97,no_station,MW31438
98,no_station,MW31539
99,no_station,MW10620
100,no_station,MW31549
101,no_station,MW31548
102,no_station,MW31550
103,no_station,MW30213
104,no_station,MW30222
105,no_station,MW30721
106,no_station,MW10732
107,no_station,MW30220
108,no_station,MW31009
109,no_station,MW31305
110,no_station,MW30120
111,no_station,MW31533
112,no_station,MW10742
113,no_station,MW31433
114,no_station,MW31431
115,no_station,MW10736
116,no_station,MW20720
117,no_station,MW31531
118,no_station,MW31554
119,no_station,MW30121
120,no_station,MW31556
121,no_station,MW10745
122,no_station,MW31432
123,no_station,MW30820
124,no_station,MW30807
125,no_station,MW10739
126,no_station,MW31110
127,no_station,MW30620
128,no_station,MW31545
129,no_station,MW10520
130,no_station,MW31547
131,no_station,MW31553
132,no_station,MW31535
133,no_station,MW31536
134,no_station,MW31537
135,no_station,MW31320
136,no_station,MW10746
137,no_station,MW10320
138,no_station,MW10731
139,no_station,MW20220
140,no_station,MW20207
141,no_station,MW31534
142,no_station,MW31120
143,no_station,MW20920
144,no_station,MW20320
145,no_station,MW31538
146,no_station,MW10106
147,no_station,MW10206
148,no_station,MW10410
149,no_station,MW30920
150,no_station,MW10420
151,no_station,MW31442
152,no_station,MW20520
153,no_station,MW20402
154,no_station,MW30204
155,no_station,MW20905
156,no_station,MW10406
157,no_station,MW20805
158,no_station,MW30207
159,no_station,MW20802
160,no_station,MW20305
161,no_station,MW20109
162,no_station,MW20104
163,no_station,MW20605
164,no_station,MW30209
165,no_station,MW30106
166,no_station,MW20706
167,no_station,MW10307
168,no_station,MW20908
169,no_station,MW10504
170,no_station,MW30806
171,no_station,MW10405
172,no_station,MW20202
173,no_station,MW20506
174,no_station,MW20504
175,no_station,MW20808
176,no_station,MW10503
177,no_station,MW20107
178,no_station,MW20403
179,no_station,MW10508
180,no_station,MW30706
181,no_station,MW30802
182,no_station,MW20106
183,no_station,MW20103
184,no_station,MW31109
185,no_station,MW20904
186,no_station,MW10304
187,no_station,MW20702
188,G5670,MW30703
189,G1724,MW31106
190,no_station,MW30305
191,no_station,MW30105
192,no_station,MW20704
193,no_station,MW10311
194,no_station,MW20405
195,no_station,MW10308
196,no_station,MW30303
197,no_station,MW30206
198,no_station,MW20204
199,no_station,MW30705
200,no_station,MW20407
201,no_station,MW30205
202,no_station,MW20510
203,no_station,MW20609
204,no_station,MW10403
205,no_station,MW10202
206,no_station,MW10404
207,no_station,MW10407
208,no_station,MW20206
209,no_station,MW20508
210,no_station,MW10205
211,no_station,MW30109
212,no_station,MW30208
213,no_station,MW20613
214,no_station,MW20108
215,no_station,MW20303
216,no_station,MW10310
217,no_station,MW20102
218,no_station,MW30202
219,no_station,MW30702
220,no_station,MW20611
221,no_station,MW10305
222,no_station,MW31551
223,no_station,MW31552
224,no_station,MW31532
225,no_station,MW10313
226,no_station,MW30710
227,no_station,MW20601
228,no_station,MW20907
229,no_station,MW30704
230,no_station,MW31003
231,no_station,MW30503
232,no_station,MW20302
233,no_station,MW30304
234,no_station,MW10401
235,no_station,MW30803
236,no_station,MW30709
237,no_station,MW31102
238,no_station,MW20607
239,no_station,MW30102
240,no_station,MW10505
241,no_station,MW20603
242,no_station,MW30405
243,no_station,MW20608
244,no_station,MW30903
245,no_station,MW20404
246,no_station,MW20110
247,no_station,MW31301
248,no_station,MW20401
249,no_station,MW10302
250,no_station,MW30104
251,no_station,MW20615
252,no_station,MW10301
253,no_station,MW20807
254,no_station,MW30403
255,no_station,MW31204
256,no_station,MW20602
257,no_station,MW20101
258,no_station,MW20612
259,no_station,MW20610
260,no_station,MW20304
261,no_station,MW10105
262,no_station,MW30601
263,no_station,MW20201
264,no_station,MW20105
265,no_station,MW20113
266,no_station,MW30501
267,no_station,MW20803
268,no_station,MW30707
269,no_station,MW20502
270,no_station,MW20301
271,no_station,MW31006
272,no_station,MW20806
273,no_station,MW30107
274,no_station,MW10408
275,G5694,MW31005
276,no_station,MW30203
277,no_station,MW20507
278,no_station,MW20606
279,no_station,MW10201
280,no_station,MW20509
281,no_station,MW30506
282,no_station,MW30504
283,no_station,MW30301
284,no_station,MW20903
285,no_station,MW10203
286,no_station,MW30402
287,no_station,MW30201
