,glofasStation,placeCode
289,no_station,ET070511
290,no_station,ET070108
291,no_station,ET010317
292,no_station,ET130105
293,no_station,ET040407
294,no_station,ET040113
295,no_station,ET071018
296,G1904,ET050607
297,no_station,ET050698
298,G5081,ET050601
299,no_station,ET071106
300,no_station,ET071803
301,no_station,ET030605
302,no_station,ET070308
303,no_station,ET010304
304,no_station,ET040324
305,no_station,ET040907
306,no_station,ET010216
307,no_station,ET050696
308,no_station,ET070903
309,no_station,ET071007
310,no_station,ET070120
311,no_station,ET040912
312,no_station,ET071801
313,no_station,ET040193
314,no_station,ET031110
315,no_station,ET070306
316,no_station,ET120205
317,G6107,ET070111
318,no_station,ET030905
319,no_station,ET031117
320,G1603,ET120206
321,no_station,ET070506
322,no_station,ET010405
323,no_station,ET071704
324,G1053,ET020303
325,no_station,ET030312
326,no_station,ET041809
327,G4965,ET030203
328,no_station,ET031111
329,no_station,ET010114
330,no_station,ET040606
331,no_station,ET030503
332,no_station,ET020102
333,no_station,ET020305
334,G1074,ET040701
335,no_station,ET040316
336,G1045,ET020402
337,no_station,ET071013
338,no_station,ET040590
339,G1045,ET020101
340,no_station,ET030804
341,no_station,ET050799
342,no_station,ET050595
343,no_station,ET041410
344,no_station,ET031118
345,no_station,ET050703
346,no_station,ET010404
347,no_station,ET030603
348,no_station,ET030508
349,no_station,ET051003
350,no_station,ET070902
351,no_station,ET040613
352,no_station,ET042107
353,no_station,ET042098
354,no_station,ET070103
355,no_station,ET030604
356,no_station,ET120301
357,no_station,ET041089
358,no_station,ET041903
359,no_station,ET070618
360,G1904,ET050604
361,G5076,ET040803
362,no_station,ET040991
363,no_station,ET041413
364,no_station,ET060202
365,no_station,ET150112
366,no_station,ET041115
367,no_station,ET040319
368,no_station,ET041003
369,no_station,ET070904
370,no_station,ET040819
371,no_station,ET051096
372,G1045,ET030308
373,no_station,ET041490
374,no_station,ET010305
375,G5081,ET042101
376,no_station,ET020405
377,no_station,ET010217
378,no_station,ET030516
379,no_station,ET030610
380,no_station,ET040103
381,no_station,ET041010
382,no_station,ET010605
383,G5056,ET120203
384,no_station,ET040908
385,no_station,ET030212
386,no_station,ET070619
387,no_station,ET160018
388,no_station,ET041019
389,no_station,ET041783
390,no_station,ET040117
391,no_station,ET070312
392,no_station,ET041006
393,no_station,ET050404
394,no_station,ET041120
395,no_station,ET041312
396,no_station,ET070202
397,no_station,ET050298
398,no_station,ET041111
399,no_station,ET050202
400,no_station,ET041801
401,no_station,ET050597
402,no_station,ET060307
403,G1901,ET070704
404,no_station,ET010312
405,no_station,ET051104
406,no_station,ET070305
407,no_station,ET041110
408,no_station,ET040915
409,no_station,ET160011
410,no_station,ET010603
411,no_station,ET041509
412,no_station,ET050299
413,no_station,ET160002
414,no_station,ET042020
415,no_station,ET020307
416,G5115,ET050904
417,no_station,ET030602
418,no_station,ET130104
419,no_station,ET070211
420,no_station,ET010108
421,no_station,ET160023
422,no_station,ET030907
423,no_station,ET071102
424,no_station,ET040202
425,no_station,ET010301
426,no_station,ET041901
427,no_station,ET070604
428,no_station,ET160031
429,no_station,ET030499
430,no_station,ET040109
431,no_station,ET050305
432,no_station,ET160007
433,no_station,ET070214
434,no_station,ET050106
435,no_station,ET041912
436,no_station,ET040204
437,no_station,ET072008
438,no_station,ET030996
439,no_station,ET040603
440,no_station,ET020505
441,no_station,ET040114
442,no_station,ET051095
443,no_station,ET040500
444,no_station,ET160010
445,no_station,ET160017
446,no_station,ET030198
447,no_station,ET160014
448,no_station,ET070602
449,no_station,ET050392
450,no_station,ET160024
451,no_station,ET030698
452,no_station,ET040317
453,no_station,ET160034
454,no_station,ET070508
455,no_station,ET050307
456,no_station,ET050701
457,no_station,ET030713
458,no_station,ET130106
459,no_station,ET041305
460,no_station,ET050206
461,no_station,ET041810
462,no_station,ET031006
463,no_station,ET070709
464,no_station,ET071019
465,no_station,ET071705
466,no_station,ET070203
467,G1901,ET070707
468,no_station,ET010102
469,no_station,ET041708
470,no_station,ET040610
471,no_station,ET070805
472,no_station,ET030498
473,no_station,ET030205
474,no_station,ET072003
475,no_station,ET072011
476,no_station,ET071301
477,no_station,ET140106
478,no_station,ET150206
479,no_station,ET041001
480,no_station,ET071401
481,no_station,ET030413
482,no_station,ET040711
483,no_station,ET030420
484,no_station,ET030213
485,no_station,ET030421
486,no_station,ET010505
487,no_station,ET071708
488,no_station,ET071807
489,G5056,ET120204
490,no_station,ET040502
491,no_station,ET140103
492,no_station,ET150113
493,no_station,ET040615
494,no_station,ET041002
495,no_station,ET030512
496,no_station,ET041907
497,no_station,ET070610
498,no_station,ET071304
499,no_station,ET070303
500,no_station,ET041707
501,no_station,ET050798
502,no_station,ET030399
503,no_station,ET050592
504,no_station,ET040214
505,no_station,ET030414
506,no_station,ET030417
507,no_station,ET160037
508,no_station,ET030398
509,no_station,ET150104
510,no_station,ET140105
511,no_station,ET010116
512,no_station,ET040406
513,no_station,ET041012
514,no_station,ET040904
515,G1603,ET120102
516,no_station,ET040911
517,no_station,ET071901
518,G1904,ET050605
519,no_station,ET060403
520,no_station,ET040217
521,no_station,ET040401
522,no_station,ET040212
523,no_station,ET031005
524,no_station,ET050991
525,no_station,ET071706
526,no_station,ET041502
527,no_station,ET050296
528,no_station,ET010205
529,no_station,ET010208
530,no_station,ET031108
531,no_station,ET160022
532,no_station,ET160012
533,no_station,ET040402
534,no_station,ET071017
535,no_station,ET070802
536,no_station,ET030298
537,no_station,ET010306
538,no_station,ET130103
539,no_station,ET070620
540,no_station,ET030403
541,G6109,ET040405
542,no_station,ET050596
543,no_station,ET120308
544,no_station,ET060204
545,no_station,ET040201
546,no_station,ET060508
547,no_station,ET041618
548,no_station,ET020204
549,no_station,ET060302
550,no_station,ET041705
551,no_station,ET050293
552,no_station,ET070304
553,no_station,ET050898
554,no_station,ET041008
555,no_station,ET010412
556,no_station,ET040801
557,no_station,ET040104
558,no_station,ET042004
559,no_station,ET010409
560,G4977,ET030704
561,no_station,ET031224
562,no_station,ET040490
563,no_station,ET060301
564,no_station,ET010410
565,no_station,ET040198
566,no_station,ET040320
567,no_station,ET071501
568,no_station,ET041113
569,no_station,ET041704
570,no_station,ET040597
571,no_station,ET040101
572,no_station,ET030502
573,no_station,ET070107
574,no_station,ET030419
575,no_station,ET030518
576,no_station,ET040604
577,no_station,ET020108
578,no_station,ET040514
579,no_station,ET072012
580,no_station,ET071703
581,no_station,ET041210
582,no_station,ET050408
583,no_station,ET071804
584,no_station,ET040297
585,no_station,ET041518
586,no_station,ET030522
587,no_station,ET030597
588,no_station,ET071005
589,G6108,ET070112
590,no_station,ET040504
591,no_station,ET120105
592,no_station,ET041414
593,no_station,ET030706
594,no_station,ET070106
595,no_station,ET020198
596,no_station,ET030302
597,no_station,ET041216
598,no_station,ET070201
599,no_station,ET040799
600,no_station,ET030797
601,no_station,ET070607
602,no_station,ET010403
603,no_station,ET071802
604,no_station,ET150103
605,no_station,ET010214
606,no_station,ET040901
607,no_station,ET030511
608,no_station,ET160028
609,no_station,ET030705
610,no_station,ET040817
611,no_station,ET040118
612,no_station,ET042018
613,no_station,ET030501
614,no_station,ET040594
615,no_station,ET041812
616,no_station,ET030411
617,no_station,ET070118
618,no_station,ET010408
619,no_station,ET040508
620,no_station,ET030207
621,no_station,ET042016
622,no_station,ET050501
623,no_station,ET030806
624,no_station,ET010107
