,placeCode,glofasStation
1,NG001001,no_station
2,NG001002,no_station
3,NG001003,no_station
4,NG001004,no_station
5,NG001005,no_station
6,NG001006,no_station
7,NG001007,no_station
8,NG001008,no_station
9,NG001009,no_station
10,NG001010,no_station
11,NG001011,no_station
12,NG001012,no_station
13,NG001013,no_station
14,NG001014,no_station
15,NG001015,no_station
16,NG001016,no_station
17,NG001017,no_station
18,NG002001,no_station
19,NG002002,G5004
20,NG002003,no_station
21,NG002004,no_station
22,NG002005,no_station
23,NG002006,no_station
24,NG002007,no_station
25,NG002008,no_station
26,NG002009,no_station
27,NG002010,no_station
28,NG002011,no_station
29,NG002012,no_station
30,NG002013,no_station
31,NG002014,no_station
32,NG002015,no_station
33,NG002016,no_station
34,NG002017,no_station
35,NG002018,no_station
36,NG002019,no_station
37,NG002020,no_station
38,NG002021,no_station
39,NG003001,no_station
40,NG003002,no_station
41,NG003003,no_station
42,NG003004,no_station
43,NG003005,no_station
44,NG003006,no_station
45,NG003007,no_station
46,NG003008,no_station
47,NG003009,no_station
48,NG003010,no_station
49,NG003011,no_station
50,NG003012,no_station
51,NG003013,no_station
52,NG003014,no_station
53,NG003015,no_station
54,NG003016,no_station
55,NG003017,no_station
56,NG003018,no_station
57,NG003019,no_station
58,NG003020,no_station
59,NG003021,no_station
60,NG003022,no_station
61,NG003023,no_station
62,NG003024,no_station
63,NG003025,no_station
64,NG003026,no_station
65,NG003027,no_station
66,NG003028,no_station
67,NG003029,no_station
68,NG003030,no_station
69,NG003031,no_station
70,NG004001,no_station
71,NG004002,no_station
72,NG004003,G1899
73,NG004004,no_station
74,NG004005,no_station
75,NG004006,no_station
76,NG004007,no_station
77,NG004008,no_station
78,NG004009,no_station
79,NG004010,no_station
80,NG004011,no_station
81,NG004012,no_station
82,NG004013,no_station
83,NG004014,no_station
84,NG004015,no_station
85,NG004016,no_station
86,NG004017,G1898
87,NG004018,G1898
88,NG004019,no_station
89,NG004020,no_station
90,NG004021,no_station
91,NG005001,no_station
92,NG005002,no_station
93,NG005003,no_station
94,NG005004,no_station
95,NG005005,no_station
96,NG005006,no_station
97,NG005007,G1035
98,NG005008,G5112
99,NG005009,no_station
100,NG005010,no_station
101,NG005011,no_station
102,NG005012,no_station
103,NG005013,no_station
104,NG005014,no_station
105,NG005015,no_station
106,NG005016,G4924
107,NG005017,no_station
108,NG005018,no_station
109,NG005019,no_station
110,NG005020,G1035
111,NG006001,no_station
112,NG006002,no_station
113,NG006003,no_station
114,NG006004,no_station
115,NG006005,no_station
116,NG006006,no_station
117,NG006007,no_station
118,NG006008,no_station
119,NG007001,no_station
120,NG007002,no_station
121,NG007003,no_station
122,NG007004,no_station
123,NG007005,no_station
124,NG007006,no_station
125,NG007007,no_station
126,NG007008,no_station
127,NG007009,G5105
128,NG007010,no_station
129,NG007011,no_station
130,NG007012,no_station
131,NG007013,G1900
132,NG007014,no_station
133,NG007015,no_station
134,NG007016,no_station
135,NG007017,no_station
136,NG007018,no_station
137,NG007019,no_station
138,NG007020,no_station
139,NG007021,no_station
140,NG007022,no_station
141,NG007023,no_station
142,NG008001,no_station
143,NG008002,no_station
144,NG008003,no_station
145,NG008004,no_station
146,NG008005,no_station
147,NG008006,no_station
148,NG008007,no_station
149,NG008008,no_station
150,NG008009,no_station
151,NG008010,no_station
152,NG008011,no_station
153,NG008012,no_station
154,NG008013,no_station
155,NG008014,no_station
156,NG008015,no_station
157,NG008016,no_station
158,NG008017,no_station
159,NG008018,no_station
160,NG008019,no_station
161,NG008020,no_station
162,NG008021,no_station
163,NG008022,no_station
164,NG008023,no_station
165,NG008024,no_station
166,NG008025,no_station
167,NG008026,no_station
168,NG008027,no_station
169,NG009001,no_station
170,NG009002,no_station
171,NG009003,no_station
172,NG009005,no_station
173,NG009006,no_station
174,NG009007,no_station
175,NG009008,no_station
176,NG009009,no_station
177,NG009010,no_station
178,NG009011,no_station
179,NG009012,no_station
180,NG009013,no_station
181,NG009014,no_station
182,NG009015,no_station
183,NG009016,no_station
184,NG009017,no_station
185,NG009018,no_station
186,NG009019,no_station
187,NG010001,no_station
188,NG010002,no_station
189,NG010003,no_station
190,NG010004,no_station
191,NG010005,no_station
192,NG010006,no_station
193,NG010007,no_station
194,NG010008,no_station
195,NG010009,no_station
196,NG010010,no_station
197,NG010011,no_station
198,NG010012,no_station
199,NG010013,no_station
200,NG010014,no_station
201,NG010015,G1898
202,NG010016,no_station
203,NG010017,no_station
204,NG010018,no_station
205,NG010019,no_station
206,NG010020,no_station
207,NG010021,no_station
208,NG010022,no_station
209,NG010023,no_station
210,NG010024,no_station
211,NG010025,no_station
212,NG011001,no_station
213,NG011002,no_station
214,NG011003,no_station
215,NG011004,no_station
216,NG011005,no_station
217,NG011006,no_station
218,NG011007,no_station
219,NG011008,no_station
220,NG011009,no_station
221,NG011010,no_station
222,NG011011,no_station
223,NG011012,no_station
224,NG011013,no_station
225,NG012001,no_station
226,NG012002,no_station
227,NG012003,no_station
228,NG012004,no_station
229,NG012005,no_station
230,NG012006,no_station
231,NG012007,no_station
232,NG012008,no_station
233,NG012009,no_station
234,NG012010,no_station
235,NG012011,no_station
236,NG012012,no_station
237,NG012013,no_station
238,NG012014,no_station
239,NG012015,no_station
240,NG012016,no_station
241,NG012017,no_station
242,NG012018,no_station
243,NG013001,no_station
244,NG013002,no_station
245,NG013003,no_station
246,NG013004,no_station
247,NG013005,no_station
248,NG013006,no_station
249,NG013007,no_station
250,NG013008,no_station
251,NG013009,no_station
252,NG013010,no_station
253,NG013011,no_station
254,NG013012,no_station
255,NG013013,no_station
256,NG013014,no_station
257,NG013015,no_station
258,NG013016,no_station
259,NG014001,no_station
260,NG014002,no_station
261,NG014003,no_station
262,NG014004,no_station
263,NG014005,no_station
