,placeCode,glofasStation
1,TG010101,no_station
2,TG010102,no_station
3,TG010103,no_station
4,TG010104,no_station
5,TG010105,no_station
6,TG010106,no_station
7,TG010107,no_station
8,TG010108,no_station
9,TG010109,no_station
10,TG010110,no_station
11,TG010111,no_station
12,TG010112,no_station
13,TG010113,no_station
14,TG010114,no_station
15,TG010115,no_station
16,TG010116,no_station
17,TG010117,no_station
18,TG010118,no_station
19,TG010119,no_station
20,TG010120,no_station
21,TG010121,no_station
22,TG010201,no_station
23,TG010202,no_station
24,TG010203,no_station
25,TG010204,no_station
26,TG010205,no_station
27,TG010301,no_station
28,TG010302,no_station
29,TG010303,no_station
30,TG010304,no_station
31,TG010305,no_station
32,TG010306,no_station
33,TG010307,no_station
34,TG010308,no_station
35,TG010309,no_station
36,TG010310,no_station
37,TG010311,no_station
38,TG010401,no_station
39,TG010402,no_station
40,TG010403,no_station
41,TG010404,no_station
42,TG010405,no_station
43,TG010406,no_station
44,TG010407,no_station
45,TG010408,no_station
46,TG010409,no_station
47,TG010410,no_station
48,TG010501,no_station
49,TG010502,no_station
50,TG010503,no_station
51,TG010504,no_station
52,TG010505,no_station
53,TG010506,no_station
54,TG010507,no_station
55,TG010508,no_station
56,TG010509,no_station
57,TG010510,no_station
58,TG010511,no_station
59,TG010512,no_station
60,TG020101,no_station
61,TG020102,no_station
62,TG020103,no_station
63,TG020104,no_station
64,TG020105,no_station
65,TG020106,no_station
66,TG020201,no_station
67,TG020202,no_station
68,TG020203,no_station
69,TG020204,no_station
70,TG020205,no_station
71,TG020206,no_station
72,TG020207,no_station
73,TG020208,no_station
74,TG020209,no_station
75,TG020210,no_station
76,TG020301,no_station
77,TG020302,no_station
78,TG020303,no_station
79,TG020304,no_station
80,TG020305,no_station
81,TG020306,no_station
82,TG020307,no_station
83,TG020308,no_station
84,TG020309,no_station
85,TG020401,no_station
86,TG020402,no_station
87,TG020403,G4922
88,TG020404,no_station
89,TG020405,no_station
90,TG020406,no_station
91,TG020407,no_station
92,TG020408,no_station
93,TG020409,no_station
94,TG020410,no_station
95,TG020411,no_station
96,TG020412,no_station
97,TG020501,G3028
98,TG020502,no_station
99,TG020503,no_station
100,TG020504,no_station
101,TG020505,no_station
102,TG020506,no_station
103,TG020507,no_station
104,TG020508,no_station
105,TG020509,no_station
106,TG020510,no_station
107,TG020511,no_station
108,TG020512,no_station
109,TG020513,no_station
110,TG020514,no_station
111,TG020601,no_station
112,TG020602,no_station
113,TG020603,no_station
114,TG020604,G3034
115,TG020605,no_station
116,TG020606,no_station
117,TG020607,no_station
118,TG020608,G5026
119,TG020609,no_station
120,TG020701,G3029
121,TG020702,G3030
122,TG020703,no_station
123,TG020704,no_station
124,TG020705,no_station
125,TG020706,G3030
126,TG020707,no_station
127,TG020708,no_station
128,TG020709,no_station
129,TG020710,no_station
130,TG020711,G4933
131,TG020712,no_station
132,TG020713,no_station
133,TG020714,no_station
134,TG020715,no_station
135,TG030101,no_station
136,TG030102,G4524
137,TG030103,no_station
138,TG030104,no_station
139,TG030105,G4524
140,TG030106,no_station
141,TG030107,no_station
142,TG030201,no_station
143,TG030202,G1089
144,TG030203,no_station
145,TG030204,no_station
146,TG030205,no_station
147,TG030301,no_station
148,TG030302,no_station
149,TG030303,no_station
150,TG030304,no_station
151,TG030401,no_station
152,TG030402,no_station
153,TG030403,no_station
154,TG030404,no_station
155,TG030405,no_station
156,TG030406,no_station
157,TG030407,no_station
158,TG030501,no_station
159,TG030601,no_station
160,TG030602,no_station
161,TG030603,no_station
162,TG030604,no_station
163,TG030605,no_station
164,TG030606,no_station
165,TG030607,no_station
166,TG030608,no_station
167,TG030609,no_station
168,TG030610,no_station
169,TG030701,no_station
170,TG030702,no_station
171,TG030703,no_station
172,TG030704,no_station
173,TG030705,no_station
174,TG030706,no_station
175,TG030707,no_station
176,TG030708,no_station
177,TG030709,G4755
178,TG030710,no_station
179,TG030711,no_station
180,TG030712,G4527
181,TG030801,no_station
182,TG030802,no_station
183,TG030803,no_station
184,TG030804,no_station
185,TG030805,no_station
186,TG030806,no_station
187,TG030807,G4527
188,TG030808,no_station
189,TG030809,G4524
190,TG030810,G4755
191,TG030811,no_station
192,TG030812,no_station
193,TG030813,no_station
194,TG030814,no_station
195,TG030815,G4756
196,TG030816,no_station
197,TG030901,G4397
198,TG030902,no_station
199,TG030903,no_station
200,TG030904,G4397
201,TG030905,no_station
202,TG030906,no_station
203,TG040101,no_station
204,TG040102,no_station
205,TG040103,no_station
206,TG040104,no_station
207,TG040105,no_station
208,TG040106,no_station
209,TG040107,no_station
210,TG040108,no_station
211,TG040109,no_station
212,TG040110,no_station
213,TG040111,no_station
214,TG040112,no_station
215,TG040113,no_station
216,TG040114,no_station
217,TG040201,no_station
218,TG040202,no_station
219,TG040203,no_station
220,TG040204,no_station
221,TG040205,no_station
222,TG040206,no_station
223,TG040207,no_station
224,TG040208,no_station
225,TG040209,no_station
226,TG040301,no_station
227,TG040302,no_station
228,TG040303,no_station
229,TG040304,no_station
230,TG040305,no_station
231,TG040306,no_station
232,TG040307,no_station
233,TG040308,G4390
234,TG040309,no_station
235,TG040310,no_station
236,TG040311,no_station
237,TG040401,no_station
238,TG040402,no_station
239,TG040403,no_station
240,TG040404,no_station
241,TG040405,no_station
242,TG040501,no_station
243,TG040502,G5286
244,TG040503,G5285
245,TG040504,no_station
246,TG040505,no_station
247,TG040506,no_station
248,TG040507,no_station
249,TG040601,G4405
250,TG040602,no_station
251,TG040603,no_station
252,TG040604,no_station
253,TG040605,no_station
254,TG040606,no_station
255,TG040607,no_station
256,TG040608,G5067
257,TG040701,no_station
258,TG040702,no_station
259,TG040703,no_station
260,TG040704,no_station
261,TG040705,no_station
262,TG040706,no_station
263,TG040707,no_station
264,TG040708,no_station
265,TG040709,no_station
266,TG040801,G5067
267,TG040802,no_station
268,TG040803,no_station
269,TG040804,no_station
270,TG040805,no_station
271,TG040806,G4405
272,TG040901,no_station
273,TG040902,no_station
274,TG040903,no_station
275,TG040904,no_station
276,TG040905,no_station
277,TG040906,no_station
278,TG040907,no_station
279,TG040908,no_station
280,TG041001,no_station
281,TG041002,no_station
282,TG041003,no_station
283,TG041004,no_station
