,placeCode,glofasStation
284,TG041005,no_station
285,TG041006,no_station
286,TG041007,no_station
287,TG041008,no_station
288,TG041101,no_station
289,TG041102,G5304
290,TG041103,no_station
291,TG041104,no_station
292,TG041105,G5285
293,TG041106,no_station
294,TG041201,no_station
295,TG041202,no_station
296,TG041203,no_station
297,TG041204,no_station
298,TG041205,no_station
299,TG041206,no_station
300,TG041207,no_station
301,TG041208,no_station
302,TG041209,no_station
303,TG041210,no_station
304,TG041211,no_station
305,TG041212,no_station
306,TG051301,G4901
307,TG051302,no_station
308,TG051303,G4919
309,TG051304,no_station
310,TG051401,no_station
311,TG051402,G3031
312,TG051403,no_station
313,TG051404,no_station
314,TG051405,G4939
315,TG051406,no_station
316,TG051407,G4939
317,TG051408,no_station
318,TG051501,no_station
319,TG051502,no_station
320,TG051503,no_station
321,TG051504,no_station
322,TG051505,no_station
323,TG051506,no_station
324,TG051507,no_station
325,TG051508,no_station
326,TG051509,no_station
327,TG051510,no_station
328,TG051511,no_station
329,TG051512,no_station
330,TG051513,no_station
331,TG051514,no_station
332,TG051515,no_station
333,TG051516,no_station
334,TG051601,no_station
335,TG051602,no_station
336,TG051603,no_station
337,TG051604,no_station
338,TG051605,no_station
339,TG051606,no_station
340,TG051607,no_station
341,TG051608,no_station
342,TG051609,no_station
343,TG051610,no_station
344,TG051611,no_station
345,TG051612,no_station
346,TG051613,no_station
347,TG051614,no_station
348,TG051615,no_station
349,TG051616,no_station
350,TG051617,no_station
351,TG051701,no_station
352,TG051702,no_station
353,TG051703,no_station
354,TG051704,no_station
355,TG051705,no_station
356,TG051706,no_station
357,TG051707,no_station
358,TG051708,no_station
359,TG051801,no_station
360,TG051802,no_station
361,TG051803,no_station
362,TG051804,no_station
363,TG051805,no_station
364,TG051806,no_station
365,TG051807,no_station
366,TG051901,no_station
367,TG051902,G3031
368,TG051903,G4938
369,TG051904,no_station
370,TG051905,no_station
371,TG051906,G4938
372,TG051907,G4922
373,TG051908,no_station
